ticket_id,created_date,created_time,closed_date,closed_time,status,priority,category,error_code
1137,1/20/2025,7:21:00 PM,,,Open,Medium,General,GEN_300
1138,1/21/2025,8:33:00 AM,,,In Progress,Medium,Network,NET_503
1139,1/21/2025,12:41:00 PM,,,In Progress,High,Reporting,REP_404
1140,1/21/2025,2:08:00 PM,,,Open,High,Login,AUTH_401
1141,1/21/2025,3:04:00 PM,,,In Progress,Medium,Payment,PAY_409
1142,1/21/2025,4:37:00 PM,,,In Progress,Low,Reporting,REP_408
1143,1/21/2025,5:13:00 PM,,,Open,Low,Account,ACC_404
1144,1/21/2025,5:54:00 PM,,,In Progress,Medium,Account,ACC_401
1145,1/21/2025,6:12:00 PM,,,Open,Low,Login,AUTH_429
1146,1/21/2025,6:22:00 PM,,,Open,Medium,Login,AUTH_401
1147,1/21/2025,7:31:00 PM,,,In Progress,Medium,Network,NET_500
1148,1/22/2025,8:09:00 AM,1/22/2025,3:17:00 PM,Closed,Medium,Login,AUTH_404
1149,1/22/2025,8:12:00 AM,1/22/2025,1:07:00 PM,Closed,Low,Login,AUTH_403
1150,1/22/2025,10:47:00 AM,1/22/2025,12:32:00 PM,Closed,Medium,Payment,PAY_402
1151,1/22/2025,10:51:00 AM,,,In Progress,Medium,Payment,PAY_500
1152,1/22/2025,12:18:00 PM,,,Open,Low,Payment,PAY_502
1153,1/22/2025,12:20:00 PM,,,In Progress,High,Account,ACC_401
1154,1/22/2025,5:55:00 PM,,,In Progress,Medium,Reporting,REP_404
1155,1/22/2025,6:41:00 PM,,,In Progress,Medium,Account,ACC_404
1156,1/22/2025,6:49:00 PM,,,In Progress,Medium,General,GEN_100
1157,1/22/2025,7:12:00 PM,,,Open,Low,Payment,PAY_502
1158,1/22/2025,7:29:00 PM,,,In Progress,Medium,Payment,PAY_502
1159,1/23/2025,8:14:00 AM,1/23/2025,6:23:00 PM,Closed,Low,Network,NET_408
1160,1/23/2025,10:58:00 AM,1/23/2025,3:41:00 PM,Closed,Medium,Login,AUTH_429
1161,1/23/2025,12:48:00 PM,1/23/2025,3:45:00 PM,Closed,Low,Network,NET_503
1162,1/23/2025,2:30:00 PM,,,Open,Low,Payment,PAY_504
1163,1/23/2025,3:27:00 PM,,,In Progress,High,General,GEN_500
1164,1/23/2025,4:19:00 PM,1/23/2025,7:17:00 PM,Closed,High,General,GEN_500
1165,1/23/2025,5:13:00 PM,1/23/2025,9:56:00 PM,Closed,Medium,General,GEN_200
1166,1/23/2025,5:38:00 PM,,,In Progress,Medium,Login,AUTH_403
1167,1/23/2025,6:22:00 PM,1/23/2025,8:27:00 PM,Closed,High,Reporting,REP_500
1168,1/23/2025,7:08:00 PM,,,In Progress,Low,Account,ACC_409
1169,1/24/2025,8:28:00 AM,,,Open,Medium,Reporting,REP_400
1170,1/24/2025,8:50:00 AM,1/24/2025,9:05:00 AM,Closed,High,Payment,PAY_504
1171,1/24/2025,9:45:00 AM,,,In Progress,Medium,Login,AUTH_401
1172,1/24/2025,10:06:00 AM,1/24/2025,1:09:00 PM,Closed,Medium,General,GEN_100
1173,1/24/2025,12:55:00 PM,1/24/2025,6:18:00 PM,Closed,Medium,Payment,PAY_401
1174,1/24/2025,12:56:00 PM,1/24/2025,3:33:00 PM,Closed,Medium,Network,NET_500
1175,1/24/2025,2:17:00 PM,,,Open,Low,Payment,PAY_400
1176,1/24/2025,3:41:00 PM,1/24/2025,7:07:00 PM,Closed,Medium,Network,NET_503
1177,1/24/2025,6:03:00 PM,,,Open,Medium,Network,NET_503
1178,1/26/2025,9:23:00 AM,,,In Progress,Low,Payment,PAY_400
1179,1/26/2025,10:27:00 AM,,,In Progress,Medium,Login,AUTH_404
1180,1/26/2025,1:41:00 PM,,,In Progress,Medium,Login,AUTH_500
1181,1/26/2025,2:00:00 PM,,,Open,Medium,Network,NET_500
1182,1/26/2025,6:29:00 PM,,,In Progress,Medium,Login,AUTH_403
1183,1/26/2025,7:28:00 PM,,,Open,Low,Network,NET_503
1184,1/27/2025,8:07:00 AM,,,Open,Low,Payment,PAY_400
1185,1/27/2025,8:54:00 AM,1/27/2025,10:51:00 AM,Closed,Medium,Network,NET_500
1186,1/27/2025,9:26:00 AM,,,Open,Low,Reporting,REP_404
1187,1/27/2025,10:41:00 AM,,,Open,Low,Login,AUTH_401
1188,1/27/2025,10:57:00 AM,,,Open,High,Payment,PAY_409
1189,1/27/2025,1:12:00 PM,1/27/2025,4:58:00 PM,Closed,Medium,General,GEN_500
1190,1/27/2025,1:27:00 PM,,,Open,Low,Login,AUTH_429
1191,1/27/2025,1:48:00 PM,1/27/2025,8:50:00 PM,Closed,Medium,Account,ACC_401
1192,1/27/2025,2:19:00 PM,1/27/2025,8:52:00 PM,Closed,Medium,Account,ACC_400
1193,1/27/2025,2:30:00 PM,1/27/2025,5:07:00 PM,Closed,Medium,Account,ACC_400
1194,1/27/2025,3:22:00 PM,1/27/2025,11:21:00 PM,Closed,Medium,Network,NET_503
1195,1/27/2025,3:37:00 PM,,,In Progress,Medium,Login,AUTH_429
1196,1/27/2025,3:55:00 PM,1/27/2025,6:09:00 PM,Closed,Low,Payment,PAY_502
1197,1/27/2025,6:42:00 PM,1/27/2025,9:42:00 PM,Closed,High,Reporting,REP_404
1198,1/28/2025,10:32:00 AM,,,In Progress,High,Payment,PAY_504
1199,1/28/2025,2:17:00 PM,,,In Progress,Medium,Account,ACC_400
1200,1/28/2025,5:47:00 PM,1/28/2025,9:26:00 PM,Closed,Medium,Network,NET_429
1201,1/28/2025,5:58:00 PM,1/28/2025,9:40:00 PM,Closed,Medium,Login,AUTH_404
1202,1/28/2025,7:16:00 PM,,,Open,Low,Payment,PAY_402
1203,1/29/2025,8:10:00 AM,,,Open,Medium,General,GEN_500
1204,1/29/2025,8:54:00 AM,1/29/2025,6:20:00 PM,Closed,Low,Payment,PAY_500
1205,1/29/2025,9:37:00 AM,,,In Progress,Medium,Payment,PAY_400
1206,1/29/2025,9:52:00 AM,,,In Progress,Medium,Payment,PAY_402
1207,1/29/2025,11:06:00 AM,,,Open,Medium,Network,NET_429
1208,1/29/2025,11:46:00 AM,,,Open,Medium,General,GEN_200
1209,1/29/2025,1:09:00 PM,1/29/2025,6:43:00 PM,Closed,Medium,Payment,PAY_500
1210,1/29/2025,2:45:00 PM,,,In Progress,Medium,General,GEN_500
1211,1/29/2025,4:31:00 PM,1/29/2025,11:59:00 PM,Closed,Low,Network,NET_408
1212,1/29/2025,6:22:00 PM,1/29/2025,7:16:00 PM,Closed,Medium,General,GEN_200
1213,1/29/2025,7:03:00 PM,1/29/2025,11:59:00 PM,Closed,Medium,Network,NET_429
1214,1/29/2025,7:15:00 PM,1/29/2025,11:59:00 PM,Closed,Medium,Payment,PAY_401
1215,1/30/2025,9:25:00 AM,1/30/2025,4:36:00 PM,Closed,Low,Login,AUTH_404
1216,1/30/2025,10:16:00 AM,,,Open,Low,Login,AUTH_404
1217,1/30/2025,12:09:00 PM,1/30/2025,3:29:00 PM,Closed,Medium,Network,NET_429
1218,1/30/2025,1:34:00 PM,,,In Progress,High,General,GEN_100
1219,1/30/2025,2:30:00 PM,1/30/2025,5:40:00 PM,Closed,Medium,Network,NET_503
1220,1/30/2025,4:17:00 PM,,,Open,Medium,Network,NET_429
1221,1/30/2025,4:38:00 PM,,,Open,High,Reporting,REP_404
1222,1/30/2025,6:28:00 PM,1/30/2025,7:56:00 PM,Closed,Low,Reporting,REP_404
1223,1/30/2025,7:27:00 PM,,,In Progress,High,Payment,PAY_409
1224,1/31/2025,8:02:00 AM,,,Open,Medium,Login,AUTH_401
1225,1/31/2025,10:21:00 AM,,,Open,Low,Login,AUTH_401
1226,1/31/2025,12:25:00 PM,1/31/2025,1:16:00 PM,Closed,High,Login,AUTH_500
1227,1/31/2025,1:39:00 PM,1/31/2025,7:27:00 PM,Closed,Medium,Login,AUTH_404
1228,1/31/2025,1:58:00 PM,1/31/2025,11:59:00 PM,Closed,Low,Reporting,REP_500
1229,1/31/2025,2:15:00 PM,,,In Progress,Medium,Reporting,REP_400
1230,1/31/2025,2:16:00 PM,,,In Progress,High,Payment,PAY_400
1231,1/31/2025,2:28:00 PM,,,Open,Low,Payment,PAY_500
1232,1/31/2025,3:08:00 PM,,,In Progress,Medium,General,GEN_500
1233,1/31/2025,5:36:00 PM,,,In Progress,High,Reporting,REP_404
1234,1/31/2025,7:28:00 PM,1/31/2025,10:27:00 PM,Closed,Low,Network,NET_503
1235,2/1/2025,9:28:00 AM,,,Open,Medium,Account,ACC_400
1236,2/1/2025,12:26:00 PM,,,Open,Low,Payment,PAY_504
1237,2/1/2025,1:28:00 PM,,,Open,Medium,General,GEN_500
1238,2/1/2025,1:56:00 PM,2/1/2025,3:40:00 PM,Closed,High,Login,AUTH_403
1239,2/1/2025,5:39:00 PM,2/1/2025,7:29:00 PM,Closed,Medium,Payment,PAY_401
1240,2/1/2025,6:09:00 PM,,,In Progress,Medium,Network,NET_429
1241,2/2/2025,8:39:00 AM,,,Open,Medium,General,GEN_200
1242,2/2/2025,5:27:00 PM,,,Open,Low,Network,NET_500
1243,2/3/2025,10:49:00 AM,2/3/2025,12:19:00 PM,Closed,Low,Payment,PAY_504
1244,2/3/2025,11:10:00 AM,,,Open,Low,Payment,PAY_504
1245,2/3/2025,1:44:00 PM,2/3/2025,11:27:00 PM,Closed,Low,Payment,PAY_504
1246,2/3/2025,1:55:00 PM,,,In Progress,High,Payment,PAY_400
1247,2/3/2025,2:02:00 PM,,,In Progress,Medium,General,GEN_500
1248,2/3/2025,3:01:00 PM,,,In Progress,High,Account,ACC_401
1249,2/3/2025,5:16:00 PM,,,Open,Low,Login,AUTH_500
1250,2/3/2025,7:06:00 PM,2/3/2025,11:59:00 PM,Closed,Low,Payment,PAY_409
1251,2/3/2025,7:20:00 PM,,,Open,Medium,Login,AUTH_403
1252,2/3/2025,7:32:00 PM,,,Open,High,Network,NET_429
1253,2/4/2025,12:29:00 PM,,,In Progress,Medium,General,GEN_100
1254,2/4/2025,12:44:00 PM,,,In Progress,Medium,Payment,PAY_402
1255,2/4/2025,7:15:00 PM,,,Open,High,Login,AUTH_403
1256,2/4/2025,7:26:00 PM,,,In Progress,Medium,Reporting,REP_408
1257,2/4/2025,7:43:00 PM,,,Open,Low,Network,NET_429
1258,2/4/2025,7:55:00 PM,,,Open,Medium,General,GEN_300
1259,2/5/2025,8:20:00 AM,,,In Progress,Medium,Login,AUTH_401
1260,2/5/2025,1:02:00 PM,,,Open,Medium,Login,AUTH_403
1261,2/5/2025,2:21:00 PM,2/5/2025,2:47:00 PM,Closed,High,Payment,PAY_401
1262,2/5/2025,3:19:00 PM,2/5/2025,10:58:00 PM,Closed,Medium,Account,ACC_400
1263,2/5/2025,6:03:00 PM,2/5/2025,11:59:00 PM,Closed,Low,Account,ACC_409
1264,2/6/2025,10:32:00 AM,,,In Progress,Medium,Network,NET_408
1265,2/6/2025,11:25:00 AM,,,Open,Medium,Payment,PAY_401
1266,2/6/2025,12:32:00 PM,,,In Progress,Medium,General,GEN_500
1267,2/6/2025,1:48:00 PM,,,In Progress,Medium,Network,NET_500
1268,2/6/2025,2:17:00 PM,2/6/2025,9:48:00 PM,Closed,Low,General,GEN_300
1269,2/6/2025,2:26:00 PM,,,In Progress,High,Network,NET_408
1270,2/6/2025,3:34:00 PM,,,In Progress,High,Network,NET_502
1271,2/6/2025,4:46:00 PM,,,Open,Medium,General,GEN_500
1272,2/6/2025,4:55:00 PM,2/6/2025,11:59:00 PM,Closed,Medium,Payment,PAY_400
1273,2/6/2025,5:17:00 PM,,,Open,Medium,Account,ACC_401
1274,2/6/2025,7:32:00 PM,,,Open,Low,General,GEN_300
1275,2/7/2025,8:08:00 AM,2/7/2025,2:25:00 PM,Closed,Low,Login,AUTH_429
1276,2/7/2025,9:12:00 AM,,,Open,Low,Login,AUTH_429
1277,2/7/2025,11:42:00 AM,2/7/2025,6:34:00 PM,Closed,Medium,Network,NET_500
1278,2/7/2025,1:04:00 PM,,,In Progress,High,Payment,PAY_401
1279,2/7/2025,1:16:00 PM,,,Open,Medium,Payment,PAY_500
1280,2/7/2025,1:58:00 PM,,,In Progress,Medium,Network,NET_503
1281,2/7/2025,2:55:00 PM,2/7/2025,9:01:00 PM,Closed,Low,Payment,PAY_409
1282,2/7/2025,6:34:00 PM,,,Open,Medium,Network,NET_408
1283,2/8/2025,6:42:00 PM,,,In Progress,Medium,Login,AUTH_401
1284,2/8/2025,7:53:00 PM,2/8/2025,8:31:00 PM,Closed,High,Account,ACC_409
1285,2/9/2025,2:03:00 PM,,,In Progress,Medium,Network,NET_408
1286,2/9/2025,2:21:00 PM,,,In Progress,Medium,Login,AUTH_403
1287,2/9/2025,4:35:00 PM,2/9/2025,11:45:00 PM,Closed,Low,Network,NET_429
1288,2/9/2025,4:51:00 PM,,,In Progress,Medium,Reporting,REP_500
1289,2/10/2025,8:01:00 AM,,,In Progress,Medium,Payment,PAY_504
1290,2/10/2025,9:39:00 AM,,,Open,Medium,Login,AUTH_404
1291,2/10/2025,12:52:00 PM,2/10/2025,5:42:00 PM,Closed,Medium,Login,AUTH_401
1292,2/10/2025,12:57:00 PM,2/10/2025,1:58:00 PM,Closed,High,General,GEN_300
1293,2/10/2025,1:17:00 PM,,,Open,High,Payment,PAY_401
1294,2/10/2025,1:33:00 PM,,,Open,Medium,Login,AUTH_500
1295,2/10/2025,2:14:00 PM,2/10/2025,3:47:00 PM,Closed,Medium,Login,AUTH_429
1296,2/10/2025,3:57:00 PM,,,In Progress,Medium,Login,AUTH_429
1297,2/10/2025,4:39:00 PM,2/10/2025,8:14:00 PM,Closed,Low,Network,NET_502
1298,2/10/2025,4:45:00 PM,2/10/2025,5:36:00 PM,Closed,High,Network,NET_502
1299,2/10/2025,5:12:00 PM,,,Open,Medium,Payment,PAY_500
1300,2/10/2025,5:58:00 PM,,,In Progress,Medium,Reporting,REP_404
1301,2/11/2025,10:05:00 AM,,,In Progress,Low,General,GEN_300
1302,2/11/2025,11:35:00 AM,,,In Progress,Medium,Network,NET_503
1303,2/11/2025,11:36:00 AM,2/11/2025,12:43:00 PM,Closed,Low,Payment,PAY_401
1304,2/11/2025,12:01:00 PM,,,Open,Medium,Payment,PAY_502
1305,2/11/2025,12:10:00 PM,2/11/2025,1:19:00 PM,Closed,High,Account,ACC_401
1306,2/11/2025,12:35:00 PM,,,In Progress,High,Login,AUTH_403
1307,2/11/2025,4:09:00 PM,,,Open,Medium,Account,ACC_400
1308,2/11/2025,7:32:00 PM,,,Open,Medium,General,GEN_500
1309,2/12/2025,8:52:00 AM,2/12/2025,7:40:00 PM,Closed,Low,Login,AUTH_401
1310,2/12/2025,9:08:00 AM,2/12/2025,11:49:00 AM,Closed,Medium,Payment,PAY_502
1311,2/12/2025,10:40:00 AM,2/12/2025,4:18:00 PM,Closed,Low,Login,AUTH_404
1312,2/12/2025,11:39:00 AM,,,Open,Medium,Account,ACC_400
1313,2/12/2025,1:03:00 PM,,,In Progress,Medium,Login,AUTH_500
1314,2/12/2025,2:00:00 PM,,,In Progress,Medium,Login,AUTH_401
1315,2/12/2025,5:34:00 PM,2/12/2025,7:38:00 PM,Closed,High,Login,AUTH_403
1316,2/12/2025,5:44:00 PM,,,In Progress,Medium,General,GEN_500
1317,2/12/2025,6:01:00 PM,,,Open,Medium,Network,NET_429
1318,2/12/2025,7:43:00 PM,,,In Progress,High,Payment,PAY_504
1319,2/13/2025,8:20:00 AM,,,Open,Low,Login,AUTH_401
1320,2/13/2025,8:42:00 AM,,,Open,Medium,General,GEN_100
1321,2/13/2025,1:25:00 PM,,,In Progress,High,Login,AUTH_500
1322,2/13/2025,1:42:00 PM,2/13/2025,7:02:00 PM,Closed,Medium,Login,AUTH_403
1323,2/13/2025,2:03:00 PM,,,Open,Medium,Network,NET_502
1324,2/13/2025,2:46:00 PM,,,Open,Medium,Account,ACC_409
1325,2/13/2025,3:06:00 PM,2/13/2025,8:47:00 PM,Closed,Medium,Payment,PAY_400
